City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Muros,ES,42.7762,-9.0603,64.83,73,96,4.16,overcast clouds
201,San Policarpo,PH,12.1791,125.5072,74.12,94,100,16.8,heavy intensity rain
202,Almeria,ES,37.1667,-2.3333,63.45,84,66,3.2,broken clouds
203,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.67,36,49,3.89,scattered clouds
204,Yerbogachen,RU,61.2767,108.0108,34.72,96,100,14.07,overcast clouds
205,Mount Gambier,AU,-37.8333,140.7667,64.31,59,75,13.8,broken clouds
206,Humberto De Campos,BR,-2.5983,-43.4611,78.19,83,53,6.46,broken clouds
207,Daru,PG,-9.0763,143.2092,82.63,81,88,15.86,overcast clouds
208,Kutum,SD,14.2,24.6667,73.58,21,99,8.1,overcast clouds
209,Marienburg,PL,54.0359,19.0266,45.95,62,0,5.7,clear sky
210,Matagami,CA,49.7502,-77.6328,55.51,88,1,3.44,clear sky
211,Kristiansund,NO,63.1115,7.732,55.45,94,90,5.75,overcast clouds
212,Zhigansk,RU,66.7697,123.3711,28.49,96,100,23.29,snow
213,Shuyskoye,RU,59.3736,41.0305,43.83,79,100,7.0,light rain
214,Umm Kaddadah,SD,13.6017,26.6876,81.66,17,49,12.73,scattered clouds
215,Pacifica,US,37.6138,-122.4869,61.11,80,75,3.0,broken clouds
216,Garissa,KE,-0.4536,39.6401,75.36,80,16,13.09,few clouds
217,Rongcheng,CN,30.634,117.8517,72.07,92,100,2.77,overcast clouds
218,Laguna,US,38.421,-121.4238,67.75,49,1,5.01,clear sky
219,Belaya Gora,RU,68.5333,146.4167,22.53,66,100,1.16,overcast clouds
220,Constitucion,CL,-35.3333,-72.4167,50.49,78,19,7.25,few clouds
221,Fairlie,GB,55.756,-4.8556,61.02,88,100,4.0,overcast clouds
222,Cayenne,GF,4.9333,-52.3333,83.08,80,20,5.99,few clouds
223,Khatanga,RU,71.9667,102.5,17.76,97,99,3.13,overcast clouds
224,Vostok,RU,46.4856,135.8833,52.18,44,17,3.89,few clouds
225,Kiboga,UG,0.9161,31.7742,62.73,95,60,1.48,broken clouds
226,Upata,VE,8.0086,-62.3989,75.2,92,100,3.04,overcast clouds
227,Umm Lajj,SA,25.0213,37.2685,82.67,54,5,10.4,clear sky
228,Clyde River,CA,70.4692,-68.5914,32.31,79,100,8.93,overcast clouds
229,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,18.41,few clouds
230,Coquimbo,CL,-29.9533,-71.3436,54.7,75,0,4.07,clear sky
231,Mahebourg,MU,-20.4081,57.7,70.09,83,75,3.44,light rain
232,Noormarkku,FI,61.5927,21.8685,51.58,93,0,3.44,clear sky
233,Dingle,PH,10.9995,122.6711,78.35,85,100,1.57,heavy intensity rain
234,Abeche,TD,13.8292,20.8324,80.83,23,98,7.92,overcast clouds
235,Opuwo,NA,-18.0607,13.84,66.85,29,4,2.51,clear sky
236,Okha,RU,53.5739,142.9478,47.1,62,92,20.33,overcast clouds
