City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Pundri,IN,76.3,clear sky,29.75,76.55,Sahil Gollen Home
306,Freeport,US,70.99,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
311,Jacmel,HT,84.04,clear sky,18.2342,-72.5347,Historic Hotel Florita
320,Ko Samui,TH,84.11,few clouds,9.5357,99.9357,The Passage Samui Villas & Resort
325,Maragogi,BR,75.36,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
326,Adrar,MR,85.75,overcast clouds,20.5022,-10.0711,NA
327,Buala,SB,84.94,light rain,-8.145,159.5921,Maringe Lagoon Lodge
329,Sungaipenuh,ID,74.03,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
330,Faanui,PF,78.67,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
332,Pangai,TO,77.23,few clouds,-19.8,-174.35,Ha'apai Beach Resort
333,Larap,PH,84.78,overcast clouds,14.299,122.6504,Montemayor Cove
337,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
338,Bejuco,PA,77.04,overcast clouds,8.6,-79.8833,Séjour ZEN Panama
340,Sorong,ID,84.15,broken clouds,-0.8833,131.25,waigo splash hotel
342,Vao,NC,70.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
343,Elmina,GH,77.52,overcast clouds,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
348,Dakar,SN,82.53,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
349,Bandarbeyla,SO,78.01,scattered clouds,9.4942,50.8122,JABIR HOTEL
350,Maumelle,US,78.66,clear sky,34.8668,-92.4043,"Holiday Inn Express & Suites Maumelle - Little Rock NW, an IHG Hotel"
351,Pyay,MM,80.64,scattered clouds,18.8167,95.2167,Shwe Pyi Thar
352,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
353,Caravelas,BR,73.67,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
354,Mae Hong Son,TH,78.94,mist,19.3003,97.9685,Baiyoke Chalet Hotel
359,Neiafu,TO,77.92,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
360,Waingapu,ID,86.7,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
362,Niamtougou,TG,73.72,overcast clouds,9.7681,1.1053,Sevebat
363,Augusto Correa,BR,76.39,scattered clouds,-1.0217,-46.635,Fazenda Bacuri
365,Meulaboh,ID,81.21,light rain,4.1363,96.1285,Kost Pria
366,Cartagena Del Chaira,CO,72.91,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
